hu-seasonal	source	assay_component	strainname	host	us_lineage	date	accession	subtype	country	global_sw_clade	new_global_lineage
map|AGSR|A/MEXICO/4108/2009|hu-seasonal|npdm|2009	map	AGSR	A/MEXICO/4108/2009	hu-seasonal	npdm	2009	na	na	N/A	na	hu-seasonal
map|AGSR|A/BEIJING/262/1995|hu-vaccine|delta-like|1995	map	AGSR	A/BEIJING/262/1995	hu-vaccine	delta-like	1995	na	na	N/A	na	hu-vaccine
map|Agonly|A/TEXAS/36/1991|hu-vaccine|delta-like|1991	map	Agonly	A/TEXAS/36/1991	hu-vaccine	delta-like	1991	na	na	N/A	na	hu-vaccine
map|Agonly|A/MICHIGAN/2/2003|hu-vaccine|delta-like|2003	map	Agonly	A/MICHIGAN/2/2003	hu-vaccine	delta-like	2003	na	na	N/A	na	hu-vaccine
map|AGSR|A/BRAZIL/11/1978|hu-vaccine|Other|1978	map	AGSR	A/BRAZIL/11/1978	hu-vaccine	Other	1978	na	na	N/A	na	hu-vaccine
map|Agonly|A/SINGAPORE/1986|hu-vaccine|delta-like|1986	map	Agonly	A/SINGAPORE/1986	hu-vaccine	delta-like	1986	na	na	N/A	na	hu-vaccine
map|excluded|A/CHILE/1/1983|hu-vaccine|Other|1983	map	excluded	A/CHILE/1/1983	hu-vaccine	Other	1983	na	na	N/A	na	hu-vaccine
map|AGSR|A/NEW_CALEDONIA/20/1999|hu-vaccine|delta-like|1999	map	AGSR	A/NEW_CALEDONIA/20/1999	hu-vaccine	delta-like	1999	na	na	N/A	na	hu-vaccine
map|AGSR|A/SOLOMON_ISLANDS/3/2006|hu-vaccine|delta-like|2006	map	AGSR	A/SOLOMON_ISLANDS/3/2006	hu-vaccine	delta-like	2006	na	na	N/A	na	hu-vaccine
map|AGSR|A/CALIFORNIA/4/2009|hu-vaccine|npdm|2009	map	AGSR	A/CALIFORNIA/4/2009	hu-vaccine	npdm	2009	na	na	N/A	na	hu-vaccine
map|excluded|A/USSR/1977|hu-vaccine|Other|1977	map	excluded	A/USSR/1977	hu-vaccine	Other	1977	na	na	N/A	na	hu-vaccine
map|Agonly|A/BRISBANE/59/2007|hu-vaccine|delta-like|2007	map	Agonly	A/BRISBANE/59/2007	hu-vaccine	delta-like	2007	na	na	N/A	na	hu-vaccine
map|AGSR|A/MICHIGAN/45/2015|hu-vaccine|npdm|2015	map	AGSR	A/MICHIGAN/45/2015	hu-vaccine	npdm	2015	na	na	N/A	na	hu-vaccine
map|AGSR|A/TAIWAN/1/1986|hu-vaccine|delta-like|1986	map	AGSR	A/TAIWAN/1/1986	hu-vaccine	delta-like	1986	na	na	N/A	na	hu-vaccine
map|AGSR|A/OHIO/9/2015|hu-variant|gamma-variant|2015	map	AGSR	A/OHIO/9/2015	hu-variant	gamma-variant	2015	na	na	USA	na	1A.3.3.3
map|Agonly|A/MINNESOTA/45/2016|hu-variant|alpha3b-2-variant|2016	map	Agonly	A/MINNESOTA/45/2016	hu-variant	alpha3b-2-variant	2016	na	na	USA	na	1A.1.1-3
map|SRonly|A/SWINE/KANSAS/00246/2004|swine|gamma|2004	map	SRonly	A/SWINE/KANSAS/00246/2004	swine	gamma	2004	na	na	USA	na	1A.3.3.3
map|SRonly|A/SWINE/ILLINOIS/00685/2005|swine|delta2|2005	map	SRonly	A/SWINE/ILLINOIS/00685/2005	swine	delta2	2005	na	na	USA	na	1B.2.1
map|SRonly|A/SWINE/OHIO/02026/2008|swine|gamma|2008	map	SRonly	A/SWINE/OHIO/02026/2008	swine	gamma	2008	na	na	USA	na	1A.3.3.3
map|SRonly|A/SWINE/MISSOURI/02060/2008|swine|gamma|2008	map	SRonly	A/SWINE/MISSOURI/02060/2008	swine	gamma	2008	na	na	USA	na	1A.3.3.3
